ranking;titulo;ano;nota
51;Alien - O 8º Passageiro;1979;8.4
52;Cinema Paradiso;1988;8.4
53;Apocalypse Now;1979;8.4
54;Amnésia;2000;8.4
55;Os Caçadores da Arca Perdida;1981;8.4
56;Django Livre;2012;8.4
57;WALL·E;2008;8.4
58;A Vida dos Outros;2006;8.4
59;Crepúsculo dos Deuses;1950;8.4
60;Glória Feita de Sangue;1957;8.4
61;O Grande Ditador;1940;8.4
62;O Iluminado;1980;8.4
63;Vingadores: Guerra Infinita;2018;8.4
64;Testemunha de Acusação;1957;8.4
65;Aliens, O Resgate;1986;8.3
66;Beleza Americana;1999;8.3
67;Homem-Aranha no Aranhaverso;2018;8.3
68;Dr. Fantástico;1964;8.3
69;Batman: O Cavaleiro das Trevas Ressurge;2012;8.3
70;Oldboy;2003;8.3
71;Coringa;2019;8.3
72;Amadeus;1984;8.3
73;Bastardos Inglórios;2009;8.3
74;Viva: A Vida é uma Festa;2017;8.3
75;Toy Story;1995;8.3
76;Coração Valente;1995;8.3
77;O Barco: Inferno no Mar;1981;8.3
78;Vingadores: Ultimato;2019;8.3
79;Princesa Mononoke;1997;8.3
80;Top Gun: Maverick;2022;8.3
81;Era uma Vez na América;1984;8.3
82;Gênio Indomável;1997;8.3
83;Your Name.;2016;8.3
84;Réquiem para um Sonho;2000;8.3
85;Toy Story 3;2010;8.3
86;Cantando na Chuva;1952;8.3
87;3 Idiotas;2009;8.3
88;Céu E Inferno;1963;8.3
89;Star Wars, Episódio VI: O Retorno do Jedi;1983;8.3
90;Brilho Eterno de uma Mente sem Lembranças;2004;8.3
91;2001: Uma Odisséia no Espaço;1968;8.3
92;Cafarnaum;2018;8.3
93;Cães de Aluguel;1992;8.3
94;A Caça;2012;8.3
95;Cidadão Kane;1941;8.3
96;M, o Vampiro de Dusseldorf;1931;8.3
97;Lawrence da Arábia;1962;8.3
98;Vá e Veja;1985;8.3
99;Intriga Internacional;1959;8.2
100;Um Corpo que Cai;1958;8.2
101;O Fabuloso Destino de Amélie Poulain;2001;8.2
102;Laranja Mecânica;1971;8.2
103;Se Meu Apartamento Falasse;1960;8.2
104;Pacto de Sangue;1944;8.2
105;Viver;1952;8.2
106;Nascido para Matar;1987;8.2
107;Hamilton;2020;8.2
108;Scarface;1983;8.2
109;Golpe de Mestre;1973;8.2
110;O Sol é para Todos;1962;8.2
111;Up: Altas Aventuras;2009;8.2
112;Fogo Contra Fogo;1995;8.2
113;Incêndios;2010;8.2
114;Taxi Driver: Motorista de Táxi;1976;8.2
115;A Separação;2011;8.2
116;Metrópolis;1927;8.2
117;Los Angeles: Cidade Proibida;1997;8.2
118;Snatch: Porcos e Diamantes;2000;8.2
119;Duro de Matar;1988;8.2
120;Ladrões de Bicicletas;1948;8.2
121;Indiana Jones e a Última Cruzada;1989;8.2
122;Como Estrelas na Terra;2007;8.2
123;1917;2019;8.2
124;A Queda! As Últimas Horas de Hitler;2004;8.2
125;Por uns Dólares a Mais;1965;8.2
126;Dangal;2016;8.2
127;Batman Begins;2005;8.2
128;O Garoto;1921;8.2
129;Quanto Mais Quente Melhor;1959;8.2
130;Meu Pai;2020;8.2
131;A Malvada;1950;8.2
132;Green Book: O Guia;2018;8.2
133;O Lobo de Wall Street;2013;8.2
134;Julgamento em Nuremberg;1961;8.2
135;Ran;1985;8.2
136;Cassino;1995;8.2
137;O Labirinto do Fauno;2006;8.2
138;Os Imperdoáveis;1992;8.2
139;Sangue Negro;2007;8.2
140;O Show de Truman: O Show da Vida;1998;8.2
141;O Sexto Sentido;1999;8.2
142;Homem-Aranha: Sem Volta para Casa;2021;8.2
143;Uma Mente Brilhante;2001;8.2
144;Yojimbo, o Guarda-Costas;1961;8.1
145;Monty Python em Busca do Cálice Sagrado;1975;8.1
146;Ilha do Medo;2010;8.1
147;O Tesouro da Sierra Madre;1948;8.1
148;Jurassic Park;1993;8.1
149;Rashomon;1950;8.1
150;Fugindo do Inferno;1963;8.1
151;Kill Bill: Volume 1;2003;8.1
152;Onde os Fracos Não Têm Vez;2007;8.1
153;Procurando Nemo;2003;8.1
154;O Enigma de Outro Mundo;1982;8.1
155;O Homem Elefante;1980;8.1
156;Chinatown;1974;8.1
157;Touro Indomável;1980;8.1
158;...E o Vento Levou;1939;8.1
159;V de Vingança;2005;8.1
160;Divertida Mente;2015;8.1
161;Jogos, Trapaças e Dois Canos Fumegantes;1998;8.1
162;Disque M para Matar;1954;8.1
163;O Segredo dos Seus Olhos;2009;8.1
164;O Castelo Animado;2004;8.1
165;A Ponte do Rio Kwai;1957;8.1
166;Três Anúncios para um Crime;2017;8.1
167;Trainspotting: Sem Limites;1996;8.1
168;Guerreiro;2011;8.1
169;Gran Torino;2008;8.1
170;Fargo: Uma Comédia de Erros;1996;8.1
171;Os Suspeitos;2013;8.1
172;Meu Amigo Totoro;1988;8.1
173;Menina de Ouro;2004;8.1
174;Prenda-me se for Capaz;2002;8.1
175;Em Busca do Ouro;1925;8.1
176;Filhos do Paraíso;1997;8.1
177;Blade Runner: O Caçador de Androides;1982;8.1
178;Sindicato de Ladrões;1954;8.1
179;Antes do Amanhecer;1995;8.1
180;12 Anos de Escravidão;2013;8.1
181;Harry Potter e as Relíquias da Morte - Parte 2;2011;8.1
182;Ben-Hur;1959;8.1
183;Morangos Silvestres;1957;8.1
184;O 3º Homem;1949;8.1
185;Garota Exemplar;2014;8.1
186;A General;1926;8.1
187;O Grande Hotel Budapeste;2014;8.1
188;O Franco Atirador;1978;8.1
189;Em Nome do Pai;1993;8.1
190;Barry Lyndon;1975;8.1
191;O Salário do Medo;1953;8.1
192;Até o Último Homem;2016;8.1
193;A Mulher Faz o Homem;1939;8.1
194;Klaus;2019;8.1
195;Bancando o Águia;1924;8.1
196;Memórias de um Assassino;2003;8.1
197;Relatos Selvagens;2014;8.1
198;O Sétimo Selo;1957;8.1
199;O Quarto de Jack;2015;8.1
200;Mad Max: Estrada da Fúria;2015;8.1
201;Mary e Max: Uma Amizade Diferente;2009;8.1
202;Como Treinar o Seu Dragão;2010;8.1
203;O Grande Lebowski;1998;8.1
204;Monstros S.A.;2001;8.1
205;Tubarão;1975;8.1
206;O Martírio de Joana D'Arc;1928;8.1
207;Sociedade dos Poetas Mortos;1989;8.1
208;Era uma Vez em Tóquio;1953;8.1
209;Hotel Ruanda;2004;8.1
210;Ford vs Ferrari;2019;8.0
211;Rocky: Um Lutador;1976;8.0
212;Platoon;1986;8.0
213;Conta Comigo;1986;8.0
214;O Exterminador do Futuro;1984;8.0
215;Spotlight: Segredos Revelados;2015;8.0
216;A Canção da Estrada;1955;8.0
217;Logan;2017;8.0
218;Rush: No Limite da Emoção;2013;8.0
219;Ratatouille;2007;8.0
220;Rede de Intrigas;1976;8.0
221;Na Natureza Selvagem;2007;8.0
222;O Mágico de Oz;1939;8.0
223;Tudo em Todo Lugar ao Mesmo Tempo;2022;8.0
224;Antes do Pôr-do-Sol;2004;8.0
225;Feitiço do Tempo;1993;8.0
226;O Exorcista;1973;8.0
227;Jai Bhim;2021;8.0
228;Os Melhores Anos de Nossa Vida;1946;8.0
229;Os Incríveis;2004;8.0
230;Ser ou Não Ser;1942;8.0
231;A Batalha de Argel;1966;8.0
232;Sempre ao Seu Lado;2009;8.0
233;As Vinhas da Ira;1940;8.0
234;Piratas do Caribe: A Maldição do Pérola Negra;2003;8.0
235;Amores Brutos;2000;8.0
236;Rebecca, a Mulher Inesquecível;1940;8.0
237;Meu Pai e Meu Filho;2005;8.0
238;O Ódio;1995;8.0
239;Rebeldia Indomável;1967;8.0
240;Os Incompreendidos;1959;8.0
241;A Criada;2016;8.0
242;Aconteceu Naquela Noite;1934;8.0
243;Quando Duas Mulheres Pecam;1966;8.0
244;A Noviça Rebelde;1965;8.0
245;A Vida de Brian;1979;8.0
246;Dersu Uzala;1975;8.0
247;Aladdin;1992;8.0
248;Histórias Cruzadas;2011;8.0
249;Gandhi;1982;8.0
250;O Gigante de Ferro;1999;8.0
